"No.","Time","Source","Destination","Protocol","Length","Info"
"241","22:28:38,665416","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"242","22:28:38,665480","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"243","22:28:38,665916","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"244","22:28:38,665970","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"245","22:28:38,666416","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"246","22:28:38,666468","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"247","22:28:38,666918","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"248","22:28:38,666987","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response"
"249","22:28:38,667675","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)"
"250","22:28:38,741489","host","controller","HCI_CMD","6","Sent Vendor Command 0x0157 (opcode 0xFD57)"
"251","22:28:38,742292","controller","host","HCI_EVT","9","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])"
"252","22:28:38,743424","host","controller","HCI_CMD","19","Sent Vendor Command 0x0157 (opcode 0xFD57)"
"253","22:28:38,744240","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])"
"254","22:28:38,744360","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)"
"255","22:28:38,744921","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])"
"256","22:28:38,745545","host","controller","HCI_CMD","19","Sent Vendor Command 0x0157 (opcode 0xFD57)"
"257","22:28:38,746240","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])"
"258","22:28:38,746297","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)"
"259","22:28:38,746834","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])"
"260","22:28:38,747468","host","controller","HCI_CMD","19","Sent Vendor Command 0x0157 (opcode 0xFD57)"
"261","22:28:38,748187","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])"
